date,value
2010-09-03,0.2717
2010-09-10,0.0537
2010-09-17,0.0015
2010-09-24,0.0805
2010-10-01,0.103
2010-10-08,0.0008
2010-10-15,-0.2035
2010-10-22,-0.076
2010-10-29,-0.2323
2010-11-05,-0.1422
2010-11-12,-0.2462
2010-11-19,0.0069
2010-11-26,0.022
2010-12-03,-0.0192
2010-12-10,-0.2896
2010-12-17,-0.2031
2010-12-24,-0.2515
2010-12-31,-0.2483
2011-01-07,-0.3306
2011-01-14,-0.3144
2011-01-21,-0.328
2011-01-28,-0.2729
2011-02-04,-0.389
2011-02-11,-0.4635
2011-02-18,-0.3163
2011-02-25,-0.0993
2011-03-04,-0.2417
2011-03-11,-0.2454
2011-03-18,0.0745
2011-03-25,-0.3355
2011-04-01,-0.3525
2011-04-08,-0.4271
2011-04-15,-0.3898
2011-04-22,-0.4116
2011-04-29,-0.5272
2011-05-06,-0.3441
2011-05-13,-0.3616
2011-05-20,-0.3239
2011-05-27,-0.2867
2011-06-03,-0.2141
2011-06-10,-0.1475
2011-06-17,-0.1388
2011-06-24,-0.124
2011-07-01,-0.3988
2011-07-08,-0.3657
2011-07-15,-0.0229
2011-07-22,-0.2972
2011-07-29,-0.2739
2011-08-05,0.3343
2011-08-12,1.3123
2011-08-19,0.5251
2011-08-26,0.8651
2011-09-02,0.509
2011-09-09,0.9022
2011-09-16,0.7685
2011-09-23,1.0983
2011-09-30,1.1408
2011-10-07,1.3749
2011-10-14,0.4703
2011-10-21,0.6645
2011-10-28,0.3067
2011-11-04,0.8539
2011-11-11,0.7805
2011-11-18,1.023
2011-11-25,1.2321
2011-12-02,0.6791
2011-12-09,0.6262
2011-12-16,0.8922
2011-12-23,0.6449
2011-12-30,0.6499
2012-01-06,0.5332
2012-01-13,0.5597
2012-01-20,0.4238
2012-01-27,0.3152
2012-02-03,0.2836
2012-02-10,0.0888
2012-02-17,0.1937
2012-02-24,0.059
2012-03-02,0.0386
2012-03-09,0.1613
2012-03-16,-0.2071
2012-03-23,-0.084
2012-03-30,0.0138
2012-04-06,0.0599
2012-04-13,0.2739
2012-04-20,0.03
2012-04-27,-0.0128
2012-05-04,-0.0694
2012-05-11,0.0984
2012-05-18,0.4431
2012-05-25,0.3554
2012-06-01,0.4476
2012-06-08,0.4234
2012-06-15,0.2094
2012-06-22,0.0459
2012-06-29,0.114
2012-07-06,0.0259
2012-07-13,0.1233
2012-07-20,-0.0343
2012-07-27,0.1015
2012-08-03,-0.1388
2012-08-10,-0.1787
2012-08-17,-0.1108
2012-08-24,-0.166
2012-08-31,-0.0784
2012-09-07,-0.2047
2012-09-14,-0.4799
2012-09-21,-0.5315
2012-09-28,-0.2244
2012-10-05,-0.439
2012-10-12,-0.4719
2012-10-19,-0.6082
2012-10-26,-0.3531
2012-11-02,-0.3406
2012-11-09,-0.3159
2012-11-16,-0.2034
2012-11-23,-0.539
2012-11-30,-0.4852
2012-12-07,-0.5282
2012-12-14,-0.5859
2012-12-21,-0.5693
2012-12-28,-0.3742
2013-01-04,-0.6348
2013-01-11,-0.6229
2013-01-18,-0.6401
2013-01-25,-0.6717
2013-02-01,-0.5737
2013-02-08,-0.5369
2013-02-15,-0.6726
2013-02-22,-0.6291
2013-03-01,-0.5179
2013-03-08,-0.7552
2013-03-15,-0.7909
2013-03-22,-0.5812
2013-03-29,-0.6327
2013-04-05,-0.5605
2013-04-12,-0.7299
2013-04-19,-0.4969
2013-04-26,-0.6917
2013-05-03,-0.6713
2013-05-10,-0.7709
2013-05-17,-0.6174
2013-05-24,-0.537
2013-05-31,-0.3708
2013-06-07,-0.0933
2013-06-14,-0.153
2013-06-21,-0.124
2013-06-28,0.0685
2013-07-05,-0.1556
2013-07-12,-0.3128
2013-07-19,-0.5195
2013-07-26,-0.4955
2013-08-02,-0.369
2013-08-09,-0.4154
2013-08-16,-0.3771
2013-08-23,-0.1988
2013-08-30,-0.1763
2013-09-06,-0.2552
2013-09-13,-0.3332
2013-09-20,-0.4564
2013-09-27,-0.3518
2013-10-04,-0.2658
2013-10-11,-0.399
2013-10-18,-0.5639
2013-10-25,-0.5857
2013-11-01,-0.5354
2013-11-08,-0.5169
2013-11-15,-0.5718
2013-11-22,-0.6508
2013-11-29,-0.5837
2013-12-06,-0.4604
2013-12-13,-0.5097
2013-12-20,-0.5728
2013-12-27,-0.6833
2014-01-03,-0.5665
2014-01-10,-0.6455
2014-01-17,-0.6508
2014-01-24,-0.5349
2014-01-31,-0.3439
2014-02-07,-0.3684
2014-02-14,-0.702
2014-02-21,-0.5865
2014-02-28,-0.6674
2014-03-07,-0.6375
2014-03-14,-0.5722
2014-03-21,-0.6195
2014-03-28,-0.6421
2014-04-04,-0.6308
2014-04-11,-0.5327
2014-04-18,-0.6238
2014-04-25,-0.7302
2014-05-02,-0.6707
2014-05-09,-0.6751
2014-05-16,-0.7084
2014-05-23,-0.7145
2014-05-30,-0.7777
2014-06-06,-0.7863
2014-06-13,-0.8082
2014-06-20,-0.8188
2014-06-27,-0.8101
2014-07-04,-0.7796
2014-07-11,-0.7299
2014-07-18,-0.6734
2014-07-25,-0.7001
2014-08-01,-0.5727
2014-08-08,-0.4042
2014-08-15,-0.6768
2014-08-22,-0.7346
2014-08-29,-0.6735
2014-09-05,-0.6179
2014-09-12,-0.5228
2014-09-19,-0.5297
2014-09-26,-0.3654
2014-10-03,-0.3191
2014-10-10,-0.3009
2014-10-17,0.1459
2014-10-24,-0.4544
2014-10-31,-0.479
2014-11-07,-0.4445
2014-11-14,-0.4346
2014-11-21,-0.3101
2014-11-28,-0.4117
2014-12-05,-0.2913
2014-12-12,-0.015
2014-12-19,0.0794
2014-12-26,-0.4871
2015-01-02,-0.1129
2015-01-09,0.1416
2015-01-16,0.1451
2015-01-23,-0.0218
2015-01-30,0.0019
2015-02-06,-0.1756
2015-02-13,-0.2636
2015-02-20,-0.2482
2015-02-27,-0.23
2015-03-06,-0.2701
2015-03-13,-0.1155
2015-03-20,-0.1418
2015-03-27,-0.207
2015-04-03,-0.1902
2015-04-10,-0.3656
2015-04-17,-0.3554
2015-04-24,-0.4015
2015-05-01,-0.3813
2015-05-08,-0.3238
2015-05-15,-0.2968
2015-05-22,-0.296
2015-05-29,-0.1935
2015-06-05,-0.1953
2015-06-12,-0.2093
